Address,Price,Sale Date,Type,Bedrooms,Bathrooms,Parking,Rent,Rent date,Agent,State,Suburb,Postcode
132 McGilvray Avenue,"$850,000",Feb 2024,House,,,,,,,WA,Noranda,6062
6/25 Bellew Way,"$465,000",Feb 2024,,,,,,,,WA,Noranda,6062
9/2-4 Wells Court,"$390,000",Jan 2024,,,,,,,,WA,Noranda,6062
15/4 Hepworth Way,"$407,000",Jan 2024,Unit,2,1,1,,,,WA,Noranda,6062
22 Matthews Close,"$795,000",Jan 2024,House,4,2,4,$450pw,Jul 2009,,WA,Noranda,6062
2 Logan Way,"$1,230,000",Dec 2023,House,,,,,,,WA,Noranda,6062
86 Alfreda Avenue,"$720,000",Dec 2023,House,,,,,,,WA,Noranda,6062
4/12 Belstead Avenue,"$405,000",Dec 2023,,,,,,,,WA,Noranda,6062
62 Armstrong Way,"$750,000",Dec 2023,House,4,3,1,,,,WA,Noranda,6062
15 Millerick Way,"$940,000",Dec 2023,House,,,,,,,WA,Noranda,6062
122 McGilvray Avenue,"$760,000",Nov 2023,House,,,,,,,WA,Noranda,6062
6/8-10 Mayer Close,"$435,000",Nov 2023,,,,,$330pw,Dec 2020,,WA,Noranda,6062
24 Hollister Way,"$871,000",Nov 2023,House,,,,,,,WA,Noranda,6062
66 Bunya Street,"$765,000",Nov 2023,House,4,2,2,,,,WA,Noranda,6062
90 Alfreda Avenue,"$807,500",Nov 2023,House,4,,,,,,WA,Noranda,6062
4 Hollitt Place,"$730,000",Nov 2023,House,4,2,2,,,,WA,Noranda,6062
4/50 CHAMBERS WAY,"$430,000",Oct 2023,Unit,2,1,1,,,,WA,Noranda,6062
19 McCarthy Place,"$970,250",Oct 2023,House,,,,,,,WA,Noranda,6062
9 Deschamp Road,"$740,000",Oct 2023,House,,,,,,,WA,Noranda,6062
83 Emberson Road,"$630,000",Oct 2023,House,3,2,2,$370pw,May 2019,,WA,Noranda,6062
10 Farrell Place,"$674,000",Sep 2023,House,3,2,5,$375pw,Jan 2020,,WA,Noranda,6062
2 Campbell Court,"$750,000",Sep 2023,House,,,,,,Jo Femia,WA,Noranda,6062
6 Aitken Place,"$720,000",Sep 2023,House,,,,,,Karl Wright,WA,Noranda,6062
8 Dawson Close,"$760,000",Sep 2023,House,4,2,2,,,,WA,Noranda,6062
38 Wonga Road,"$715,000",Sep 2023,House,,,,,,,WA,Noranda,6062
7/4 Hepworth Way,"$373,500",Sep 2023,Townhouse,2,1,1,$280pw,Sep 2016,,WA,Noranda,6062
34 Ardross Way,"$780,000",Sep 2023,House,,,,,,,WA,Noranda,6062
3 Rosaglen Rise,"$880,000",Sep 2023,House,5,3,2,$500pw,Dec 2018,,WA,Noranda,6062
14/4 Lee Place,"$375,000",Aug 2023,,,,,$425pw,Feb 2022,,WA,Noranda,6062
13/9 Corderoy Way,"$355,000",Aug 2023,Unit,,,,,,,WA,Noranda,6062
10 Gittos Court,"$730,000",Aug 2023,House,,,,,,,WA,Noranda,6062
26A Bramwell Road,"$490,000",Aug 2023,House,,,,,,,WA,Noranda,6062
15 Davidson Place,"$755,000",Aug 2023,House,4,2,,,,,WA,Noranda,6062
9 Stewart Way,"$730,000",Aug 2023,House,4,2,2,$450pw,Dec 2016,,WA,Noranda,6062
1 Holden Drive,"$700,000",Jul 2023,House,,,,,,,WA,Noranda,6062
3B Smeed Street,"$545,000",Jul 2023,House,3,1,1,$335pw,Oct 2020,,WA,Noranda,6062
60 Wonga Road,"$590,000",Jul 2023,House,3,2,,,,Nigel Ross,WA,Noranda,6062
1/1-3 Sherbrooke Heights,"$475,000",Jul 2023,,,,,$315pw,Mar 2019,Aubin Hay,WA,Noranda,6062
1/26 Horslay Way,"$369,000",Jul 2023,Townhouse,,,,,,,WA,Noranda,6062
114 Emberson Road,"$687,500",Jul 2023,House,,,,,,Nigel Ross,WA,Noranda,6062
6 Peet Court,"$630,000",Jul 2023,House,4,2,2,,,Nigel Ross,WA,Noranda,6062
35A Newell Way,"$390,000",Jun 2023,,,,,,,Carla Yazmadjian,WA,Noranda,6062
7 WIDGEE ROAD,"$530,000",Jun 2023,House,,,,,,Anthony Fuda,WA,Noranda,6062
77 Widgee Road,"$700,000",Jun 2023,House,5,3,2,,,Richard Eldridge,WA,Noranda,6062
166 Benara Road,"$607,000",Jun 2023,House,3,2,,$360pw,Feb 2019,Bang Nguyen,WA,Noranda,6062
46 Horslay Way,"$660,000",May 2023,House,3,2,2,,,Christine Chong,WA,Noranda,6062
2/24 Broomhall Way,"$390,000",May 2023,House,3,1,3,,,Richard Saviel,WA,Noranda,6062
1/8-10 Mayer Close,"$370,000",May 2023,,,,,,,,WA,Noranda,6062
2 Barnard Place,"$775,000",May 2023,House,4,2,4,,,Thomas Jefferson Wedge,WA,Noranda,6062
81 Widgee Road,"$961,100",May 2023,House,4,3,2,$575pw,Sep 2019,,WA,Noranda,6062
34 Matthews Close,"$700,000",Apr 2023,House,3,2,4,,,Nigel Ross,WA,Noranda,6062
9/10 Beavis Court,"$380,000",Apr 2023,,,,,$375pw,Sep 2021,Nigel Ross,WA,Noranda,6062
124 Alfreda Avenue,"$470,000",Mar 2023,House,3,1,1,$400pw,Feb 2021,Nigel Ross,WA,Noranda,6062
19 Stewart Way,"$865,000",Mar 2023,House,4,2,1,,,Nigel Ross,WA,Noranda,6062
13 Deschamp Road,"$685,000",Mar 2023,House,4,2,1,,,Jai Bernard,WA,Noranda,6062
4 Mayer Close,"$625,000",Mar 2023,House,4,2,2,,,Carla Yazmadjian,WA,Noranda,6062
92 Emberson Road,"$645,000",Mar 2023,House,3,1,1,$350pw,Jan 2019,Nigel Ross,WA,Noranda,6062
28 Luderman Road,"$575,000",Mar 2023,House,,,,,,Nigel Ross,WA,Noranda,6062
8/47 Weatherill Way,"$330,000",Mar 2023,,,,,$380pw,Feb 2014,Peter Thomas,WA,Noranda,6062
10 Richards Place,"$720,000",Mar 2023,House,5,2,2,,,Anthony Fuda,WA,Noranda,6062
189 Benara Road,"$530,000",Feb 2023,House,,,,,,,WA,Noranda,6062
35 Cardwell Avenue,"$870,000",Feb 2023,House,4,2,2,,,Arash Kalani,WA,Noranda,6062
5/7 Batt Court,"$369,000",Feb 2023,House,3,1,1,$350pw,Nov 2015,Russell Rath,WA,Noranda,6062
5/11 Noranda Place,"$335,000",Feb 2023,House,3,1,1,,,Lui Marcelli,WA,Noranda,6062
6/41-43 Fitzpatrick Way,"$390,000",Feb 2023,Townhouse,3,1,2,$440pw,Feb 2022,Anthony Fuda,WA,Noranda,6062
21 McCaskill Way,"$790,000",Dec 2022,House,4,2,2,$680pw,Feb 2013,Anthony Fuda,WA,Noranda,6062
62 Bramwell Road,"$575,000",Dec 2022,House,4,2,2,,,Jody Missell,WA,Noranda,6062
49 Newell Way,"$785,000",Dec 2022,House,3,2,2,$500pw,May 2020,Cheng Liu,WA,Noranda,6062
170 Widgee Road,"$595,000",Dec 2022,House,3,2,1,,,Tyrone Ha,WA,Noranda,6062
5/24 Broomhall Way,"$390,000",Dec 2022,,,,,,,,WA,Noranda,6062
7/2 Strutt Way,"$360,000",Dec 2022,Townhouse,3,2,1,$300pw,Mar 2019,Nigel Ross,WA,Noranda,6062
7A Kirkpatrick Crescent,"$448,000",Nov 2022,House,,,,,,,WA,Noranda,6062
22 Hollister Way,"$735,000",Nov 2022,House,4,2,2,,,Phoebe Liang,WA,Noranda,6062
11 Benara Road,"$560,000",Nov 2022,House,3,1,2,$380pw,Apr 2017,Anthony Fuda,WA,Noranda,6062
14 Della Road,"$1,050,000",Nov 2022,House,4,3,,,,,WA,Noranda,6062
62 Holden Drive,"$550,000",Oct 2022,,,,,$410pw,Aug 2015,,WA,Noranda,6062
8 McNess Court,"$850,000",Oct 2022,House,,,,,,,WA,Noranda,6062
2 Stirling Court,"$755,000",Oct 2022,House,4,2,2,,,Debbie Newman,WA,Noranda,6062
24A Benara Road,"$600,000",Oct 2022,House,,,,,,Nigel Ross,WA,Noranda,6062
1 Fitzpatrick Way,"$440,000",Oct 2022,House,,,,,,Peter Menaglio,WA,Noranda,6062
16 Gillon Road,"$462,000",Oct 2022,House,3,2,2,$385pw,Jan 2021,Angela Marshall,WA,Noranda,6062
22 Widgee Road,"$670,000",Sep 2022,House,4,2,2,,,Marco Papalia,WA,Noranda,6062
4 Hoby Road,"$665,000",Sep 2022,House,4,2,2,,,Nicole Newman,WA,Noranda,6062
